"yymm","year","month","url","row","good","medida","cantidad","precio","total","id","ym","categoria","ipc","ipc_estimado","precio_real","total_real"
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","7","Carne de aves","libra",8,17.92,143.36,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,48.3804469589632,387.043575671706
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","8","Chuleta de pescado","libra",9,36.14,325.26,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,97.5708344362127,878.137509925914
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","9","Leche","litro",30,11.18,335.4,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,30.1837833147996,905.513499443988
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","10","Huevos","docena",7,26.88,188.16,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,72.5706704384448,507.994693069114
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","11","Queso seco","libra",9,26.49,238.41,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,71.5177477646728,643.659729882055
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","12","Tortilla","libra",57,9.22,525.54,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,24.892171928663,1418.85379993379
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","13","Pinolillo","libra",10,14.94,149.4,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,40.3350378106535,403.350378106535
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","14","Pastas alimenticias","libra",5,11.53,57.65,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,31.1287139194669,155.643569597334
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","15","Pan","libra",27,13.7,369.9,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,36.9872836684038,998.656659046903
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","16","Tomate de cocinar","libra",14,14.12,197.68,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,38.1212003940045,533.696805516063
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","17","Cebolla blanca","libra",8,12.08,96.64,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,32.6136048696582,260.908838957266
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","18","Papas","libra",15,9.78,146.7,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,26.4040608961306,396.060913441959
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","19","Ayote","libra",32,3.89737490136296,124.715996843615,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,10.5221394918853,336.708463740332
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","20","Chiltoma","libra",3,27.53594277,82.60782831,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,74.3415858621112,223.024757586333
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","21","Plátano verde","libra",16,3.83,61.28,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,10.3402406167873,165.443849868597
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","22","Naranja","libra",46,2.14898071,98.85311266,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,5.80182183348159,266.883804340153
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","23","Repollo","libra",2,5.04,10.08,3,2007-11-01,"Alimentos",82.1496152386937,FALSE,13.6070007072084,27.2140014144168
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","24","Jabón de lavar ropa","unidad",12.55,6.43,80.6965,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,17.3597251086012,217.864550112945
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","25","Detergente","bolsita de 40 gramos",27.97,1.32,36.9204,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,3.56373828045935,99.6777597044479
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","26","Pasta dental","unidad de 115 grs",2.13,20.66,44.0058,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,55.777903692644,118.806934865332
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","27","Fósforos","cajita de 40 cerillos",10.87,0.92,10.0004,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,2.48381758941106,26.9990971968982
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","28","Escoba","unidad",1.22,27.5613,33.624786,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,74.4100453554728,90.7802553336769
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","29","Papel higiénico","rollos",10.71,5.25,56.2275,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,14.1739590700088,151.803101639794
