"month","year","url","row","bien","medida","cantidad","precio","total"
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","25","Detergente en polvo","Bolsita de 40 gramos",27.97,2.08,58.1776
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","26","Pasta dental","Unidad de 115 grs",2.13,27.1,57.723
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","27","Fósforos","Cajita de 40 cerrillos",10.87,1,10.87
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","28","Escoba","Unidad",1.22,35.98,43.8956
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","29","Papel higiénico","Rollos",10.71,10.07,107.8497
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","30","Jabón de baño","Unidad",4.67,5.54,25.8718
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","31","Toallas sanitarias","Bolsa de 10 unid",2.21,12.91,28.5311
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","32","Desodorante nacional","Unidad",1.9,19.99,37.981
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","33","Cepillo dental","Unidad",2.49,9.85,24.5265
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","34","Alquiler","Valor (C$) mensual",1,900,900
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","35","Gas butano","25 libras",1,294.11,294.11
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","36","Luz eléctrica","KWH",100,2.333565,233.3565
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","37","Agua","Galones",5292,0.01559,82.50228
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","38","Transporte","Pasaje",240,2.5,600
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","39","Pantalón largo de tela de jeans","Unidad",0.62,265.6,164.672
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","40","Camisa manga corta","Unidad",0.66,88.25,58.245
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","41","Calzoncillos","Unidad",1.57,26.39,41.4323
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","42","Calcetines","Par",1.32,19.88,26.2416
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","43","Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)","Par",0.43,303.94,130.6942
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","44","Blusa manga corta","Unidad",0.66,76,50.16
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","45","Pantalón largo de tela de jeans","Unidad",0.51,260.86,133.0386
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","46","Vestido entero","Unidad",0.5,203.04,101.52
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","47","Calzones/Bikinis","Unidad",1.23,24.58,30.2334
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","48","Brassier/sostén","Unidad",0.97,28.09,27.2473
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","49","Sandalias de cuero sintético","Par",0.44,175.03,77.0132
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","50","Traje completo","Unidad",0.5,205.49,102.745
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","51","Calzones","Unidad",1.43,17.51,25.0393
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","52","Calcetines","Par",1.39,17.67,24.5613
"Feb",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CFeb2012.xls","53","Zapato de cuero sintético","Par",0.45,244.64,110.088
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","1","Arroz","Libra",38,10.23,388.74
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","2","Frijol","Libra",34,10.09,343.06
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","3","Azúcar","Libra",30,8,240
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","4","Aceite","Litro",7,36.18,253.26
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","5","Posta de res","Libra",8,51.03,408.24
